Price,Close,High,Low,Open,Volume,Ticker,Fund
Ticker,GULF,GULF,GULF,GULF,GULF,,
Date,,,,,,,
2019-01-02,18.760000228881836,18.99799919128418,18.739999771118164,18.799999237060547,2009,GULF,VanEck_Gulf
2019-01-03,18.860000610351562,19.105899810791016,18.649999618530273,18.649999618530273,2462,GULF,VanEck_Gulf
2019-01-04,19.103200912475586,19.15049934387207,18.920000076293945,18.920000076293945,1732,GULF,VanEck_Gulf
2019-01-07,19.309999465942383,19.34000015258789,19.20319938659668,19.229999542236328,4334,GULF,VanEck_Gulf
2019-01-08,19.049999237060547,19.33489990234375,18.942100524902344,19.33489990234375,4090,GULF,VanEck_Gulf
2019-01-09,19.269899368286133,19.269899368286133,18.899999618530273,18.899999618530273,7947,GULF,VanEck_Gulf
2019-01-10,19.5,19.5,19.230600357055664,19.309999465942383,13887,GULF,VanEck_Gulf
2019-01-11,19.479999542236328,19.520000457763672,19.250099182128906,19.520000457763672,8452,GULF,VanEck_Gulf
2019-01-14,19.440000534057617,19.440000534057617,19.18000030517578,19.18000030517578,4080,GULF,VanEck_Gulf
2019-01-15,19.469999313354492,19.5,19.450000762939453,19.499900817871094,1899,GULF,VanEck_Gulf
2019-01-16,19.541400909423828,19.57900047302246,19.40999984741211,19.5,8273,GULF,VanEck_Gulf
2019-01-17,19.707799911499023,19.729999542236328,19.631900787353516,19.709999084472656,2631,GULF,VanEck_Gulf
2019-01-18,19.780099868774414,19.81999969482422,19.689599990844727,19.75,14951,GULF,VanEck_Gulf
2019-01-22,19.440000534057617,19.670000076293945,19.395000457763672,19.670000076293945,15478,GULF,VanEck_Gulf
2019-01-23,19.63050079345703,19.684999465942383,19.450000762939453,19.621000289916992,7479,GULF,VanEck_Gulf
2019-01-24,19.70009994506836,19.763500213623047,19.510000228881836,19.639999389648438,28536,GULF,VanEck_Gulf
2019-01-25,19.716800689697266,19.950000762939453,19.649999618530273,19.950000762939453,1467,GULF,VanEck_Gulf
2019-01-28,19.761999130249023,20.040000915527344,19.590999603271484,20.040000915527344,19321,GULF,VanEck_Gulf
2019-01-29,19.871999740600586,19.999000549316406,19.795000076293945,19.999000549316406,10891,GULF,VanEck_Gulf
2019-01-30,19.965999603271484,20.010000228881836,19.899999618530273,20.010000228881836,2829,GULF,VanEck_Gulf
2019-01-31,19.864999771118164,20.13719940185547,19.780000686645508,20.0,22046,GULF,VanEck_Gulf
