Price,Close,High,Low,Open,Volume,Ticker,Company
Ticker,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,,
Date,,,,,,,
2019-12-11,22.072330474853516,22.072330474853516,22.072330474853516,22.072330474853516,38289394,2222.SR,Aramco
2019-12-12,23.07561492919922,24.267018740647618,22.57397068594611,24.267018740647618,505692621,2222.SR,Aramco
2019-12-15,23.45185089111328,23.51455697454431,23.07561873205146,23.26373553516976,98349281,2222.SR,Aramco
2019-12-16,23.828081130981445,23.890785758378946,23.514553652470205,23.514553652470205,105973907,2222.SR,Aramco
2019-12-17,23.671321868896484,23.92214332027577,23.514558099990715,23.85943723384352,142672245,2222.SR,Aramco
2019-12-18,23.01291275024414,23.57726316209119,23.01291275024414,23.514557078383252,83822621,2222.SR,Aramco
2019-12-19,22.26044464111328,23.044263369176186,22.26044464111328,23.01291033061874,108120197,2222.SR,Aramco
2019-12-22,22.135032653808594,22.38585405341182,21.88421125420537,22.32314942709829,39709972,2222.SR,Aramco
2019-12-23,22.32315444946289,22.354506046086,22.103684590051827,22.13503763384982,35098090,2222.SR,Aramco
2019-12-24,22.19774055480957,22.385855896412018,22.13503447615897,22.354502857086718,22184338,2222.SR,Aramco
2019-12-25,22.072330474853516,22.197742643957923,22.009625837476122,22.197742643957923,13572736,2222.SR,Aramco
2019-12-26,22.166391372680664,22.166391372680664,21.978274551169143,22.040979193556364,13863242,2222.SR,Aramco
2019-12-29,22.19774055480957,22.385855896412018,22.13503447615897,22.13503447615897,22966690,2222.SR,Aramco
2019-12-30,22.040977478027344,22.229094284897055,22.040977478027344,22.197742689731115,13147121,2222.SR,Aramco
2019-12-31,22.103679656982422,22.103679656982422,21.978268956954324,22.040973583381096,16332772,2222.SR,Aramco
2020-01-01,22.009624481201172,22.103682155058653,21.978271440857103,22.103682155058653,8517342,2222.SR,Aramco
2020-01-02,22.040977478027344,22.103683562708852,21.97827284052065,22.009625882861403,11430744,2222.SR,Aramco
