Date,Ticker,Company_Name,Sector,Industry,Open,High,Low,Close,Adj_Close,Volume
2020-01-03 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,71.62915285765841,72.45596582996416,71.47246932030643,71.69664764404297,71.69664764404297,146322800
2020-01-06 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,70.81920816221287,72.3065062028637,70.56851011431775,72.26793670654297,72.26793670654297,118387200
2020-01-07 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,72.27757077764687,72.53308721808551,71.70868733859578,71.92804718017578,71.92804718017578,108872000
2020-01-08 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,71.63155918060959,73.38643082203993,71.63155918060959,73.08511352539062,73.08511352539062,132079200
2020-01-09 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,74.06135963491325,74.83032176731344,73.81066900497032,74.63748168945312,74.63748168945312,170108400
2020-01-10 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,74.87131024106992,75.37029336253585,74.30483235122053,74.80622100830078,74.80622100830078,140644800
2020-01-13 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,75.12201817653433,76.4309386915993,75.00389679896787,76.4044189453125,76.4044189453125,121532000
2020-01-14 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,76.34175230410106,76.5514679630278,75.24977872842311,75.37271118164062,75.37271118164062,161954400
2020-01-15 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,75.17262239843001,76.05246721987251,74.61819429330173,75.0496826171875,75.0496826171875,121923600
2020-01-16 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,75.5920697800867,76.10069718746519,75.23048903454546,75.98980712890625,75.98980712890625,108829200
2020-01-17 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,76.23811023432756,76.83351362979406,75.93197444596949,76.83110809326172,76.83110809326172,137816400
2020-01-21 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,76.45985409290795,76.90097930249982,76.17299948734095,76.3104019165039,76.3104019165039,110843200
2020-01-22 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,76.79493065234263,77.13481745633268,76.48879491769239,76.58280944824219,76.58280944824219,101832400
2020-01-23 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,76.63581166676181,77.03113599263217,76.08861494453882,76.95159149169922,76.95159149169922,104472000
2020-01-24 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.19748815287878,77.93993070377184,76.53940855639385,76.72984313964844,76.72984313964844,146537600
2020-01-27 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,74.74113795467083,75.15333787807808,73.4924810810553,74.47357177734375,74.47357177734375,161940000
2020-01-28 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,75.35343533999493,76.75154473409874,75.25460237825888,76.58039855957031,76.58039855957031,162234000
2020-01-29 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,78.20991513135742,79.0294966511186,77.46987813568431,78.18339538574219,78.18339538574219,216229200
2020-01-30 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.26738534868132,78.12312337660362,76.83589699674123,78.0700912475586,78.0700912475586,126743200
2020-01-31 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.361404556077,77.78324876217432,74.31448794421121,74.60857391357422,74.60857391357422,199588400
2020-02-03 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,73.35267280813538,75.56795795185045,72.85128411079334,74.40367126464844,74.40367126464844,173788400
2020-02-04 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,76.00666815397705,77.05043515977154,75.60169956180454,76.86000061035156,76.86000061035156,136616400
2020-02-05 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.98574655750554,78.28465836318001,76.88413594573808,77.48677062988281,77.48677062988281,118826800
2020-02-06 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.75674147890366,78.39553270453209,77.19990767879175,78.39311981201172,78.39311981201172,105425600
2020-02-07 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.89295663582978,78.14183107037995,76.8370524098855,77.32755279541016,77.32755279541016,117684000
2020-02-10 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,75.914034625019,77.69481658935547,75.83430131081457,77.69481658935547,77.69481658935547,109348800
2020-02-11 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,78.19012824861761,78.2626130556721,77.00857427677795,77.22603607177734,77.22603607177734,94323200
2020-02-12 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.67549348632544,79.06484268174145,77.67549348632544,79.06001281738281,79.06001281738281,113730400
2020-02-13 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,78.33271303943899,78.82321339617904,78.12974813739189,78.49701690673828,78.49701690673828,94747600
2020-02-14 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,78.4656030374421,78.76522420824622,78.00893385896474,78.51634979248047,78.51634979248047,80113600
2020-02-18 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,76.19915236156656,77.25989377012822,76.0179329078446,77.07867431640625,77.07867431640625,152531200
2020-02-19 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.32028463710277,78.42451672179727,77.32028463710277,78.1949691772461,78.1949691772461,93984000
2020-02-20 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,77.95576130740083,78.44384294584167,76.88777163956716,77.39276885986328,77.39276885986328,100566000
2020-02-21 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,76.98685711850104,77.42903672549149,75.02485563249914,75.64099884033203,75.64099884033203,129554000
2020-02-24 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,71.8257352845529,73.49778279969091,69.88547911921196,72.04802703857422,72.04802703857422,222195200
2020-02-25 00:00:00-05:00,AAPL,Apple Inc.,Technology,Consumer Electronics,72.71732938397975,73.09909512359589,69.13643119372864,69.60759735107422,69.60759735107422,230673600
